
===== PER-OBJECT: world matrix decomposed =====
jrAYWVBOuBEKQMx type=EMPTY parent=pAozAexmhJgprgi loc_mm=(0.00,0.00,0.00) rot_deg=(90.00,-0.00,0.00) scale=(0.010,0.010,0.010)
JTfSVVYjoeeDWKv type=MESH parent=dTUwdegvXYlCPAJ loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
KwknaiWiXLGNYdF type=EMPTY parent=upTUAKvMVkPOMKq loc_mm=(-40.96,0.00,58.85) rot_deg=(0.00,-180.00,-0.00) scale=(0.010,0.010,0.010)
lDFOThoixLkQaNt type=EMPTY parent=SiftyleUEEZwLhF loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
lJPfQMFXvvcmdtA type=MESH parent=AKVZtTmuRolfwyf loc_mm=(0.00,0.00,0.00) rot_deg=(90.00,-0.00,0.00) scale=(0.010,0.010,0.010)
lkstqCsTPFGjqkq type=EMPTY parent=pAozAexmhJgprgi loc_mm=(0.00,0.00,0.00) rot_deg=(90.00,-0.00,0.00) scale=(0.010,0.010,0.010)
LQEBZxUIvjuXzdw type=EMPTY parent=upTUAKvMVkPOMKq loc_mm=(-40.96,0.00,58.85) rot_deg=(0.00,-180.00,-0.00) scale=(0.010,0.010,0.010)
lRoKMVsbfCealtF type=EMPTY parent=DsxQCihOdKtPxIe loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
lThHoEDPRcKxVDj type=EMPTY parent=lDFOThoixLkQaNt loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
LUOprLNHsMrFOaS type=EMPTY parent=xBrLNRikmrHehEX loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
MeQNhtSdEDLOoXj type=MESH parent=lRoKMVsbfCealtF loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
MhDPaBaaHkLYESY type=MESH parent=xUSWCKliopnKdBb loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
MHKZGNlFPrDkKom type=EMPTY parent=SiftyleUEEZwLhF loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
mjecbCFnfurWWJV type=MESH parent=SiftyleUEEZwLhF loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
MjVVZAfVRIEvieS type=EMPTY parent=pAozAexmhJgprgi loc_mm=(0.00,0.00,0.00) rot_deg=(90.00,-0.00,0.00) scale=(0.010,0.010,0.010)
MnPSgwdtGmrkVcg type=MESH parent=rTXqhGdxSahVgNw loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
mqejrnidkykjHgp type=EMPTY parent=lDFOThoixLkQaNt loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
MrGmthJDWvDlbwX type=MESH parent=lRoKMVsbfCealtF loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
msUTSJTbdlDoNLs type=MESH parent=EuKPpVegcQBiQbq loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
MvKPXGSdYDVvSpk type=MESH parent=JMNlJLaRJqsIYOv loc_mm=(-39.39,0.00,58.85) rot_deg=(-180.00,0.00,90.00) scale=(0.010,0.010,0.010)
nrYKEbuMfByWbND type=MESH parent=INryeDDYSSKehNA loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
NtYMsWnAcbWQvBP type=MESH parent=YpWPjdyVXeCQnCk loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
ofINavgRnYcOtBd type=EMPTY parent=upTUAKvMVkPOMKq loc_mm=(-40.96,0.00,58.85) rot_deg=(0.00,-180.00,-0.00) scale=(0.010,0.010,0.010)
oiUDqkWwTyKwnqQ type=EMPTY parent=VozFyMVAwkoHjOE loc_mm=(0.00,0.00,0.00) rot_deg=(90.00,-0.00,0.00) scale=(0.010,0.010,0.010)
ONfbMSsVikXcwwp type=MESH parent=EuKPpVegcQBiQbq loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
